"","OM","EM","Species","Performance.metric","Value"
"158","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal SSB"," 4,684,147"
"159","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal SSB Depletion","0.86"
"160","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.72"
"161","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","Average Catch","   160,550"
"162","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","Catch IAV","0.11"
"163","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","P(Closed)","0"
"164","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","Avg terminal SSB Relative MSE","0"
"165","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(Fy > Flimit)","0.02"
"166","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(SSB < SSBlimit)","0"
"167","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","OM: P(Fy > Flimit)","0"
"168","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","OM: P(SSB < SSBlimit)","0"
"169","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"170","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"171","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"172","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"173","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal B"," 1,404,627"
"174","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal SSB","   297,066"
"175","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal SSB Depletion","0.75"
"176","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.7"
"177","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","Average Catch","    48,246"
"178","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","Catch IAV","0.07"
"179","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","P(Closed)","0"
"180","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0"
"181","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"182","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"183","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"184","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"185","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"186","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"187","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"188","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"189","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal B","   482,043"
"190","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal SSB","   262,686"
"191","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.6"
"192","SS_Ricker_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.47"
"193","SSM_OM","SS_fixM_Cat1_EM","Pollock","Average Catch"," 2,278,359"
"194","SSM_OM","SS_fixM_Cat1_EM","Pollock","Catch IAV","0.14"
"195","SSM_OM","SS_fixM_Cat1_EM","Pollock","P(Closed)","0"
"196","SSM_OM","SS_fixM_Cat1_EM","Pollock","Avg terminal SSB Relative MSE","0.07"
"197","SSM_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy > Flimit)","0.02"
"198","SSM_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"199","SSM_OM","SS_fixM_Cat1_EM","Pollock","OM: P(Fy > Flimit)","0"
"200","SSM_OM","SS_fixM_Cat1_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"201","SSM_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"202","SSM_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"203","SSM_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"204","SSM_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"205","SSM_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal B","24,501,742"
"206","SSM_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB"," 6,176,386"
"207","SSM_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB Depletion","0.94"
"208","SSM_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.59"
"209","SSM_OM","SS_fixM_Cat1_EM","Cod","Average Catch","   141,730"
"210","SSM_OM","SS_fixM_Cat1_EM","Cod","Catch IAV","0.11"
"211","SSM_OM","SS_fixM_Cat1_EM","Cod","P(Closed)","0"
"212","SSM_OM","SS_fixM_Cat1_EM","Cod","Avg terminal SSB Relative MSE","0"
"213","SSM_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy > Flimit)","0.02"
"214","SSM_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB < SSBlimit)","0.01"
"215","SSM_OM","SS_fixM_Cat1_EM","Cod","OM: P(Fy > Flimit)","0"
"216","SSM_OM","SS_fixM_Cat1_EM","Cod","OM: P(SSB < SSBlimit)","0"
"217","SSM_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"218","SSM_OM","SS_fixM_Cat1_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"219","SSM_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.01"
"220","SSM_OM","SS_fixM_Cat1_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"221","SSM_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal B"," 1,211,462"
"222","SSM_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB","   268,406"
"223","SSM_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB Depletion","0.59"
"224","SSM_OM","SS_fixM_Cat1_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.43"
"225","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Average Catch","    39,757"
"226","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Catch IAV","0.09"
"227","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","P(Closed)","0"
"228","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.01"
"229","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"230","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"231","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"232","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"233","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"234","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"235","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"236","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"237","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal B","   422,788"
"238","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal SSB","   187,752"
"239","SSM_OM","SS_fixM_Cat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.8"
