"","OM","EM","Species","Performance.metric","Value"
"180","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Pollock","OM: Average SSB Depletion","0.40488901157335"
"199","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","Average Catch","   28"
"200","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","Catch IAV","0.21"
"201","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","P(Closed)","0.95"
"202","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","Avg SSB Relative MSE","0.194135218984161"
"203","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0.08"
"204","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0"
"205","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0"
"206","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0.01"
"207","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0.08"
"208","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"209","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.01"
"210","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"211","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.08"
"212","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal B","  464"
"213","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal SSB","  291"
"214","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion","1"
"215","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.63"
"216","SSM_Ricker_OM","SS_estM_dynamicTier3_EM","Cod","OM: Average SSB Depletion","0.632623509458451"
"217","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","Average Catch","  156"
"218","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","Catch IAV","0.34"
"219","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","P(Closed)","1"
"220","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg SSB Relative MSE","0.781572698370156"
"221","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg terminal SSB Relative MSE","0.08"
"222","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit)","0"
"223","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"224","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(Fy > Flimit)","0.09"
"225","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(SSB < SSBlimit)","0.31"
"226","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"227","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.19"
"228","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"229","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.31"
"230","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal B","1,988"
"231","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB","  196"
"232","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","0.41"
"233","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.4"
"234","SS_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Average SSB Depletion","0.387944588502251"
"253","SS_OM","SS_fixM_dynamicTier3_EM","Cod","Average Catch","   28"
"254","SS_OM","SS_fixM_dynamicTier3_EM","Cod","Catch IAV","0.3"
"255","SS_OM","SS_fixM_dynamicTier3_EM","Cod","P(Closed)","1"
"256","SS_OM","SS_fixM_dynamicTier3_EM","Cod","Avg SSB Relative MSE","0.338668815829653"
"257","SS_OM","SS_fixM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0.06"
"258","SS_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0.03"
"259","SS_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0"
"260","SS_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0.06"
"261","SS_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0"
