"","OM","EM","Species","Performance.metric","Value"
"207","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"208","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"209","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"210","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"211","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"212","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal B","   708"
"213","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB","   324"
"214","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.86"
"215","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.62"
"216","SSM_Ricker_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Average SSB Depletion","0.805777238115633"
"217","SS_OM","SS_fixM_Fspr_EM","Pollock","Average Catch"," 1,743"
"218","SS_OM","SS_fixM_Fspr_EM","Pollock","Catch IAV","0.11"
"219","SS_OM","SS_fixM_Fspr_EM","Pollock","P(Closed)","1"
"220","SS_OM","SS_fixM_Fspr_EM","Pollock","Avg SSB Relative MSE","0.522141663066627"
"221","SS_OM","SS_fixM_Fspr_EM","Pollock","Avg terminal SSB Relative MSE","0.02"
"222","SS_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy > Flimit)","0"
"223","SS_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"224","SS_OM","SS_fixM_Fspr_EM","Pollock","OM: P(Fy > Flimit)","0"
"225","SS_OM","SS_fixM_Fspr_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"226","SS_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"227","SS_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"228","SS_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"229","SS_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"230","SS_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal B","17,177"
"231","SS_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB"," 4,663"
"232","SS_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB Depletion","0.53"
"233","SS_OM","SS_fixM_Fspr_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.52"
"234","SS_OM","SS_fixM_Fspr_EM","Pollock","OM: Average SSB Depletion","0.517393453046262"
"235","SS_OM","SS_fixM_Fspr_EM","Cod","Average Catch","   118"
"236","SS_OM","SS_fixM_Fspr_EM","Cod","Catch IAV","0.09"
"237","SS_OM","SS_fixM_Fspr_EM","Cod","P(Closed)","1"
"238","SS_OM","SS_fixM_Fspr_EM","Cod","Avg SSB Relative MSE","0.58943271652363"
"239","SS_OM","SS_fixM_Fspr_EM","Cod","Avg terminal SSB Relative MSE","0.01"
"240","SS_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy > Flimit)","0"
"241","SS_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB < SSBlimit)","0"
"242","SS_OM","SS_fixM_Fspr_EM","Cod","OM: P(Fy > Flimit)","0"
"243","SS_OM","SS_fixM_Fspr_EM","Cod","OM: P(SSB < SSBlimit)","0"
"244","SS_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"245","SS_OM","SS_fixM_Fspr_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"246","SS_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"247","SS_OM","SS_fixM_Fspr_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"248","SS_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal B"," 1,376"
"249","SS_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB","   322"
"250","SS_OM","SS_fixM_Fspr_EM","Cod","OM: Terminal SSB Depletion","0.55"
