"","OM","EM","Species","Performance.metric","Value"
"312","SSM_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy > Flimit)","0.95"
"313","SSM_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB < SSBlimit)","0.18"
"314","SSM_OM","SS_estM_AvgF_EM","Cod","OM: P(Fy > Flimit)","0.95"
"315","SSM_OM","SS_estM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.08"
"316","SSM_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"317","SSM_OM","SS_estM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.02"
"318","SSM_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.1"
"319","SSM_OM","SS_estM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"320","SSM_OM","SS_estM_AvgF_EM","Cod","OM: Terminal B","  189"
"321","SSM_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB","   97"
"322","SSM_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion","0.27"
"323","SSM_OM","SS_estM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.26"
"324","SSM_OM","SS_estM_AvgF_EM","Cod","OM: Average SSB Depletion","0.252460225969745"
"325","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Average Catch","  274"
"326","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Catch IAV","0.31"
"327","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","P(Closed)","1"
"328","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.640725894532405"
"329","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.15"
"330","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"331","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"332","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"333","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"334","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"335","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"336","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"337","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"338","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal B","3,078"
"339","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB","  460"
"340","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion","1.73"
"341","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.48"
"342","SSM_Ricker_OM","SS_fixM_AvgF_EM","Pollock","OM: Average SSB Depletion","1.48763480832623"
"361","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","Average Catch","   39"
"362","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","Catch IAV","0.24"
"363","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","P(Closed)","1"
"364","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","Avg SSB Relative MSE","0.0916669006737101"
"365","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","Avg terminal SSB Relative MSE","0.18"
"366","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit)","0.23"
"367","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit)","0.04"
"368","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: P(Fy > Flimit)","0.98"
"369","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: P(SSB < SSBlimit)","0.05"
